Título,Autor,Descripción,Formato,Número de páginas,Fecha de publicación,Calificación promedio,Número de calificaciones,Número de reseñas,URL de la imagen de portada,URL del libro,Categoría
Patty Cake and the Monsters Under the Bed,Vanessa Ann Vigilante,Join Patty Cake as she helps her father overcome his fear of the monsters under his bed. A new monster arrives each day of the week. Read how Patty Cake listens and helps her father find a solution to banish the monsters once and for all. A fun and exciting rhyming book for children ages 4 and up.,Paperback,28 pages,"Expected publication February 27, 2025",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1732042014i/221560109.jpg,https://www.goodreads.com/book/show/221560109-patty-cake-and-the-monsters-under-the-bed,Children's
Little Dani Makes a Friend,Cassius Ali,"“Little Dani” shows us that if your heart’s desire is to make a friend, then all things are possible with faith. Still, we must be true to ourselves. Remember, a real friend accepts you as you are. You don’t have to pretend to be someone else to fit in or hurt someone to be a part of a group. There are children being bullied, feeling as if no one cares or hears their voices. Children who believe nothing will change if they tell someone or who might feel as if they don’t have a friend in the world. I want them to know there is someone who cares and is cheering for them to keep their faith. I went through the same thing, and I am still standing up for you. If you don’t have a person in your life who feels like a real friend. Then be a friend to someone in need. You may find strength in your struggle together. At the very least, it will take your mind off your issues. Long enough to realize how strong you truly are. It starts with being kind, understanding, and empathetic towards others. You may never know what people are going through. Your efforts may make a difference to someone in need. All glory to our heavenly Father.",Paperback,27 pages,"Published September 27, 2024",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1724809038i/218151143.jpg,https://www.goodreads.com/book/show/218151143-little-dani-makes-a-friend,Children's
Kalila y Dimna y otras fábulas del Panchatantra,Ramsay Wood,"Los cuentos de este libro provienen de la antigua inmersión de la humanidad en las tradiciones orales, cuando ""una vez"" desencadenó la entrada total en ""mundos de historias"" imaginarios.

Los extremos salvajes de música, voz, acento, mimetismo, canto y danza primitivos despertaron a los grupos, entonces como ahora, a un vívido sentido social de extradimensionalidad, a veces fusionando una conciencia de lo cotidiano con la certeza de que la supervivencia evolutiva exige un flujo y adaptación constantes.

Hoy en día, nuestra tradición literaria más tenue y paginada (papel o pantalla), desarrollada en los últimos 2.500 años, está codificada a través de la palabra escrita o la partitura anotada. A menudo marca la diferencia entre leer silenciosamente una obra de teatro o absorberla a través del ajetreo de cualquier actuación teatral.

Las historias vinculadas en Los cuentos de este libro provienen de la antigua inmersión de la humanidad en las tradiciones orales, cuando ""una vez"" desencadenó la entrada total en ""mundos de historias"" imaginarios. Los extremos salvajes de música, voz, acento, mimetismo, canto y danza primitivos despertaron a los grupos, entonces como ahora, a un vívido sentido social de extradimensionalidad, a veces fusionando una conciencia de lo cotidiano con la certeza de que la supervivencia evolutiva exige un flujo y adaptación constantes.",Kindle Edition,530 pages,"First published January 1, 300",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1675356065l/96069986.jpg,https://www.goodreads.com/book/show/96069986-kalila-y-dimna-y-otras-f-bulas-del-panchatantra,Classics
Big Jim and the White Boy: An American Classic Reimagined,David F. Walker,"A thrilling graphic novel reimagining of The Adventures of Huckleberry Finn that follows Jim, an enslaved man on a journey towards freedom, and his sidekick, Huck, in the antebellum South—from the team behind the Eisner Award–winning The Black Panther Party.

Commonly regarded as one of the great American novels, The Adventures of Huckleberry Finn has captured the hearts and imaginations of readers since 1885. But since its publication, critics have rightfully condemned Mark Twain’s troubling portrayal of Black Americans as stereotypes and caricatures, with contemporary fans searching for a modern update to this iconic tale.

is a radical retelling of this American classic, centering the experiences of Jim, an enslaved Black man in search of his kidnapped wife and children, along with his cheeky sidekick, Huckleberry Finn. Jim and Huck’s high-stakes adventures take them on an epic voyage across the antebellum South and Midwest, through Confederate war camps and runaway safe houses, into Old West standoffs, and on the road as covert Underground Railroad agents. Intertwined into the story of Jim and Huck are the stories of Jim’s descendants in the 1930s, 1980s, and 2020s, making this a multigenerational family epic as well as an adventure story.

With compelling artwork and riveting storytelling, David F. Walker and Marcus Kwame Anderson push the boundaries of in this incredible graphic novel, exploring the triumphs and tribulations of Jim and his family, and finally giving his due as a hero of American literature.",Hardcover,288 pages,"Published October 15, 2024",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1718698473i/205436022.jpg,https://www.goodreads.com/book/show/205436022-big-jim-and-the-white-boy,Classics
Aesop's Fables: 50 Favorite Tales Illustrated for Children,Elizabeth Shelby,"""Aesop's Fables : 50 favorite tales illustrated for children"" is a wonderful book filled with stories meant to inspire young minds. Inside you'll discover exciting tales with smart animals and wise people and in each story, there's a hidden lesson like a secret message. These lessons help kids grow up, make friends, and make good choices. These lessons are special codes that teach you to be kind and smart.

When you read these stories, you'll not only have fun but also learn important values. The book is like a friendly guide showing kids how to be good leaders and make responsible decisions. Whether it's stories about being a good friend, telling the truth, or being brave and clever, the lessons are easy to understand.

As you read, you'll feel you're going on adventures with the characters and learning about being kind, honest, and staying true to yourself. ""Fables for Future Leaders"" is like a trusted friend who helps kids discover their potential and become caring and thoughtful people ready for whatever comes their way. These timeless stories will not only bring joy, but also plant the seeds of wisdom that will grow with you throughout your life.",Kindle Edition,62 pages,"Published September 17, 2024",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1726703289i/219330214.jpg,https://www.goodreads.com/book/show/219330214-aesop-s-fables,Classics
At Wit's End: Cartoonists of The New Yorker,Alen MacWeeney,"An exclusive sneak peek inside the creative minds of more than 50 New Yorker cartoonists, celebrating legends and newcomers alike with stunning photography and engaging profiles.

For a century, The New Yorker has provided readers with hundreds of thousands of cartoons that humorously (and accurately) encapsulate the cultural happenings in our world. From politics to pop culture, New Yorker cartoonists have found a way to make complex topics digestible through lines, shades, and clever, witty captions.

In honor of the magazine’s 100th birthday, this celebratory collection captures the brilliantly quirky personalities behind some of ’s most iconic cartoons. Filled with striking portraits by world-renowned photographer Alen MacWeeney, captivating profiles by long-time contributor Michael Maslin, and a sampling of each artist’s work, these pages offer an exclusive peek inside the creative brains of over fifty prominent cartoonists, both seasoned and newly minted.From legends like Roz Chast and Jack Ziegler to contemporaries like Liana Finck and Jeremy Nguyen, this landmark volume is a beautiful homage to the artists who have long brought joy, humor, and satire to our lives.",Hardcover,224 pages,"Published November 19, 2024",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1718712422i/205804263.jpg,https://www.goodreads.com/book/show/205804263-at-wit-s-end,Comics
Godzilla: The Official Pop-Up Book,Matthew Reinhart,"Unleash the immense power of Godzilla with this pop-up masterpiece by world-renowned paper engineer Matthew Reinhart featuring vintage artwork reinvented for a modern audience. This one-of-a-kind collectible explores the rich history of Godzilla lore in a visual feast worthy of the King of Monsters.

Behold the stunningly stylized renderings of Godzilla and the many monsters from Monster Island in this one-of-a kind collectible. Delve into the lore of the monster with fascinating information and insightful analysis written by an expert in Godzilla's history, while coming face-to-face with the creature in stunning 3-D. Featuring expanding flaps, pull-tab attacks, and one of the tallest pop-ups to ever rise from the depths of a book, this title is a true celebration of the King of Monsters.

A TRUE CLASSIC: Celebrate over 70 years of rich history with the monster that launched a momentous film franchise.

KAIJU POP: Unleash the mighty Godzilla with a standout pop-up that rises over a foot tall off the pages.

A MONSTER PAIRING: Matthew Reinhart's intricate paper engineering mixed with the lush illustrations of Yuko Shimizu brings the classic look of the monster to life in a stunning art piece to enjoy and display.

READ MORE ABOUT IT: Fascinating facts and tantalizing trivia bring the pages to life with an in-depth analysis of Godzilla lore.

THE GODZILLA FILES: Includes over 15 removable documents detailing the history of the creature and its friends and foes.",Hardcover,4 pages,"Published November 12, 2024",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1718978237i/212262107.jpg,https://www.goodreads.com/book/show/212262107-godzilla,Comics
The Art and Making of Arcane,Elisabeth Vincentelli,"Filled with gorgeous illustrations and concept art from the hit Netflix series, The Art and Making of Arcane is an immersive journey behind the scenes of the Emmy Award-winning Animated Series!

The Art and Making of Arcane takes readers through the visual journey of Riot Games’ and Fortiche's revolutionary animated series. Featuring early art styles, evolving character designs, and jaw-dropping worldbuilding artwork, this volume is the definitive compendium of Arcane’s creative process and vision.

and fans alike will be amazed by the visual development of fan-favorite champions, the breathtaking cityscapes of Piltover and Zaun, and the riveting inventions of hextech and Shimmer.

This book includes early designs showing how characters evolved visually, gorgeous vistas of sprawling background and setting art, and interviews with over 20 key animators, writers, directors, artists, game designers, musicians, and other creators.

comes with an acetate jacket exclusive to this edition.

This stunning tome will also come with a trove of in-world extras. All editions of the book will include a Jinx poster, a removable map of Piltover, an in-world blueprint, a Vander Letter, fold-out spreads showcasing content from seasons one and two, and more.

Features beautiful, never-before-seen concept art that helped adapt the global blockbuster video game into a critically acclaimed animated series.

Hear from the development teams at Riot Games and Fortiche on the groundbreaking process that brought the world of Runeterra into the cinematic limelight.

Filled with both behind-the-scenes looks at the inspiration and iteration of the people and places in , breakdowns of key scenes, and a deep dive into Fortiche’s artisanal animation style, chronicles the incredible work and talent that went into crafting such a dynamic and instantly iconic series.",Hardcover,224 pages,"Expected publication December 20, 2024",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1732998517i/216736098.jpg,https://www.goodreads.com/book/show/216736098-the-art-and-making-of-arcane,Comics
Richard Hart Bread: Intuitive Sourdough Baking,Richard Hart,"A comprehensive guide to the craft of baking bread, featuring more than 60 recipes filled with all the expertise and experience of the founder of Copenhagen’s Hart Bageri and former head baker at San Francisco’s Tartine.Richard Hart Bread is the guide to the intuitive art of baking bread. By learning how to see, taste, touch, and adapt, readers can find their own way to making truly wonderful bread—from blistering sourdoughs to rich rye pan loaves and more. Rather than focusing obsessively on precise formulas, Richard teaches both aspiring and seasoned bakers all his key techniques without holding anything back.Through gorgeous photography, explanatory videos accessed on page through QR codes, and thorough descriptions of methods, you’ll have all the tools you need to make great breads. Rich in stories and Richard’s boundless enthusiasm, this book will make you fall ever deeper in love with bread.",Hardcover,304 pages,"Published November 5, 2024",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1718794411i/209244091.jpg,https://www.goodreads.com/book/show/209244091-richard-hart-bread,Cookbooks
Conversations Behind the Kitchen Door: 50 American Chefs Chart Today’s Food Culture,Emmanuel Laroche,"Conversations Behind the Kitchen Door is Emmanuel Laroche’s collection of dialogues with award-winning chefs from various backgrounds and cultures, sharing their personal experiences of where and why food culture is where it is today.

Revisiting his childhood and life as a young adult in France, traveling throughout Europe, and eventually moving with his family to the United States, Emmanuel Laroche infuses his knowledge and curiosity of everything food-related within each page of Conversations Behind the Kitchen Door. His decades-long connection with StarChefs—a platform for culinary professionals that hosts the annual International Chef’s Congress—gave Emmanuel the opportunity to meet and interview preeminent culinary talent, where he built a network of trending chefs, pastry chefs, and mixologists.

Emmanuel’s podcast Flavors Unknown, as well as his worldwide search for new foods and flavors, are at the core of Conversations Behind the Kitchen Door. Scores of chefs offer essential insights and entertaining observations about the food scene today—information that will be of interest to new and aspiring chefs, as well as foodies and home cooks who follow trends in restaurants and recipes. Readers will walk away from Conversations Behind the Kitchen Door with a deeper understanding of the minds and creative practices of famous chefs, as well as a map to begin to create sensational dishes of their own.",Paperback,330 pages,"First published November 8, 2022",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1666578405i/60818820.jpg,https://www.goodreads.com/book/show/60818820-conversations-behind-the-kitchen-door,Cookbooks
Belly Full: Exploring Caribbean Cuisine through 11 Fundamental Ingredients and Over 100 Recipes,Lesley Enston,"A delectable exploration of Caribbean cuisine through 105 recipes based on eleven staple ingredients, featuring powerful insights into the shared history of the diaspora and gorgeous photography.

“Lesley’s recipes inspire in the ways they approach, transcend, and unify cultural boundaries on page after delicious page.”—Hawa Hassan, author of In Bibi’s Kitchen

Across the English-speaking Caribbean, “me belly full” can mean more than just a satisfied stomach, but a heart and soul that’s full too. In Belly Full, food writer of Trinidadian descent Lesley Enston brings us into the overlapping histories of the Caribbean islands through their rich cultures and cuisines.

Eleven staple ingredients—beans, calabaza, cassava, chayote, coconut, cornmeal, okra, plantains, rice, salted cod, and scotch bonnet peppers—hold echoes of familiarity from one island to the next, and their widespread use comes in part from the harrowing impact of the Atlantic Slave Trade and colonialism. As Lesley delves into how history shaped each country and territory’s cuisine, she shows us what we can learn from each island (such as Haiti, Jamaica, Puerto Rico, Trinidad & Tobago, and Cuba) and encourages us to celebrate the delicious differences.

Belly Full provides basic knowledge on choosing, storing, and preparing these ingredients as well as a mix of traditional and creative adaptations to dishes. Recipes are mostly gluten-free and plant-based and include:

• Cornmeal: Pen Mayi from Haiti and Conkies from Barbados
• Okra: Callaloo from Trinidad and Tobago and Fungee from Antigua
• Plantains: Mofongo from Puerto Rico and Tortilla de Plátano Maduro from Cuba
• Salted Cod: Ackee and Saltfish from Jamaica and Accras de Morue from Martinique

Belly Full, with its breadth of stories, recipes, and stunning photography, will leave your stomach and heart more than satisfied.",Hardcover,256 pages,"Published September 10, 2024",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1719784496i/203608469.jpg,https://www.goodreads.com/book/show/203608469-belly-full,Cookbooks
The Boy in the Balloon,D.A. Schaeffer,"One night to save his friends. One night to make a decision that will change his life. One leap into a magical world that will change them all forever.

Family has never really worked out for Ben. When 11 year old Ben Turner’s new foster parents demand he get rid of his two dogs, the only real family he’s ever known, a magical balloon, the F.S Quest, appears one evening outside his window. It was the escape he had often dreamt of. To all of their delight, the balloon distributes magical enhancements to them. But instead of floating away happily ever after, they happen upon a young girl and her brother in desperate need of rescue.

Though Ben has entered a magical realm with an enchanted balloon at his command, has a wise magical guide, and magical troops on the ground, he also has sinister evil beings and an absolutely ruthless human family to deal with. Will the newly acquired magic be enough to help Ben and his friends free the young girl and her brother? Or--should they just sail away and leave well enough alone? And what about the powerful mysterious being who seems to be constantly tracking Ben?

It certainly wasn’t the journey Ben had been hoping for. But is it the one he truly needs?

is the touching first book in a middle grade, contemporary fantasy fiction adventure series, . If you like magical worlds, adventure and danger, friendships and sacrifice, with unexpected plot twists…you’ll love .

Order a copy of to start this exciting new Purlandion series today!",Kindle Edition,232 pages,"Published October 23, 2024",Calificación no encontrada,No disponible,No disponible,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1729800913i/220805845.jpg,https://www.goodreads.com/book/show/220805845-the-boy-in-the-balloon,Fantasy
